2020-05-12 08:46:46 [53411068 [Thread-11] INFO  o.s.s.c.ThreadPoolTaskExecutor:208 - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-12 09:17:12 [10839 [http-nio-9800-exec-1] INFO  o.s.web.servlet.DispatcherServlet:524 - Initializing Servlet 'dispatcherServlet'
2020-05-12 09:17:12 [10847 [http-nio-9800-exec-1] INFO  o.s.web.servlet.DispatcherServlet:546 - Completed initialization in 7 ms
2020-05-12 09:17:18 [16520 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbLoginTokenService:52 - 用户已经加入聊天通道({"uniqueId":1,"userId":1})
2020-05-12 09:17:18 [16520 [nioEventLoopGroup-5-1] INFO  wb.im.core.cache.ChannelCache:73 - 用户加入(1)
2020-05-12 09:17:18 [16622 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:17:22 [21273 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:17:27 [25661 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbLoginTokenService:52 - 用户已经加入聊天通道({"uniqueId":2,"userId":2})
2020-05-12 09:17:27 [25662 [nioEventLoopGroup-5-2] INFO  wb.im.core.cache.ChannelCache:73 - 用户加入(2)
2020-05-12 09:17:27 [26274 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:17:31 [29779 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:17:32 [31273 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:17:36 [34753 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:17:37 [36273 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:17:41 [39755 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:17:42 [41273 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:17:46 [44754 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:17:47 [46275 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:17:51 [49755 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:17:52 [51273 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:17:56 [54755 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:17:57 [56273 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:18:01 [59758 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:18:02 [61274 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:18:06 [64758 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:18:07 [66273 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:18:11 [69756 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:18:12 [71274 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:18:16 [74756 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:18:17 [76274 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:18:21 [79756 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:18:22 [81273 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:18:26 [84758 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:18:27 [86273 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:18:31 [89756 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:18:32 [91274 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:18:36 [94757 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:18:37 [96274 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:18:41 [99758 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:18:42 [101273 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:18:46 [104757 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:18:47 [106273 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:18:51 [109762 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:18:52 [111275 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:18:56 [114759 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:18:57 [116274 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:19:01 [119761 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:19:02 [121274 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:19:06 [124762 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:19:07 [126273 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:19:11 [129762 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:19:12 [131275 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:19:16 [134761 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:19:17 [136275 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:19:21 [139762 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:19:22 [141273 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:19:26 [144761 [nioEventLoopGroup-5-2] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"on7tRoWnrJezsBjkFl6JiQ=="})
2020-05-12 09:19:27 [146274 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:19:27 [146303 [Thread-11] INFO  o.s.s.c.ThreadPoolTaskExecutor:208 - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-12 09:19:27 [146304 [Thread-11] INFO  c.a.druid.pool.DruidDataSource:1948 - {dataSource-1} closing ...
2020-05-12 09:19:27 [146317 [Thread-11] INFO  c.a.druid.pool.DruidDataSource:2020 - {dataSource-1} closed
2020-05-12 09:19:27 [146318 [Thread-11] INFO  wb.im.core.server.WbWebNettyServer:42 - WEB消息服务开始关闭(1112)
2020-05-12 09:19:27 [146319 [Thread-11] INFO  wb.im.core.server.WbNettyServer:42 - 消息服务开始关闭(1111)
2020-05-12 09:20:02 [1007 [main] INFO  wb.im.control.App:50 - Starting App on AQH5Q7JUUOCEZG5 with PID 256760 (F:\battleSpace\im-platform\im-control\im-stage\target\classes started by Administrator in F:\battleSpace\im-platform)
2020-05-12 09:20:02 [1010 [main] INFO  wb.im.control.App:650 - The following profiles are active: dev
2020-05-12 09:20:03 [2485 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer:90 - Tomcat initialized with port(s): 9800 (http)
2020-05-12 09:20:03 [2502 [main] INFO  o.a.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-9800"]
2020-05-12 09:20:04 [2512 [main] INFO  o.a.catalina.core.StandardService:173 - Starting service [Tomcat]
2020-05-12 09:20:04 [2513 [main] INFO  o.a.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.21]
2020-05-12 09:20:04 [2636 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
2020-05-12 09:20:04 [2636 [main] INFO  o.s.web.context.ContextLoader:283 - Root WebApplicationContext: initialization completed in 1537 ms
2020-05-12 09:20:04 [2741 [main] INFO  wb.im.core.server.WbNettyServer:35 - 消息服务开始启动（1111）
2020-05-12 09:20:04 [2744 [main] INFO  wb.im.core.server.WbWebNettyServer:35 - WEB消息服务开始启动（1112）
2020-05-12 09:20:04 [2768 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure:56 - Init DruidDataSource
2020-05-12 09:20:04 [3179 [main] INFO  c.a.druid.pool.DruidDataSource:1003 - {dataSource-1} inited
2020-05-12 09:20:05 [3594 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor:171 - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-12 09:20:05 [3862 [main] INFO  o.a.coyote.http11.Http11NioProtocol:173 - Starting ProtocolHandler ["http-nio-9800"]
2020-05-12 09:20:05 [3885 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer:202 - Tomcat started on port(s): 9800 (http) with context path ''
2020-05-12 09:20:05 [3889 [main] INFO  wb.im.control.App:59 - Started App in 3.748 seconds (JVM running for 4.505)
2020-05-12 09:20:05 [3892 [main] INFO  wb.im.control.App:17 - 消息系统服务端启动完成
2020-05-12 09:20:12 [10532 [http-nio-9800-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/]:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-12 09:20:12 [10532 [http-nio-9800-exec-1] INFO  o.s.web.servlet.DispatcherServlet:524 - Initializing Servlet 'dispatcherServlet'
2020-05-12 09:20:12 [10541 [http-nio-9800-exec-1] INFO  o.s.web.servlet.DispatcherServlet:546 - Completed initialization in 8 ms
2020-05-12 09:20:13 [12454 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbLoginTokenService:52 - 用户已经加入聊天通道({"uniqueId":1,"userId":1})
2020-05-12 09:20:13 [12455 [nioEventLoopGroup-5-1] INFO  wb.im.core.cache.ChannelCache:73 - 用户加入(1)
2020-05-12 09:20:17 [15917 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:20:22 [20915 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:20:27 [25916 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:20:32 [30915 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:20:37 [35915 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:20:42 [41225 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:20:47 [46229 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:20:52 [51225 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:20:57 [56229 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:21:02 [61228 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:21:07 [66228 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:21:12 [71227 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:21:17 [76227 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:21:22 [81246 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:21:27 [86227 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:21:32 [91228 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:21:37 [96227 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:21:42 [101231 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:21:47 [106228 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:21:52 [111239 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:21:57 [116228 [nioEventLoopGroup-5-1] INFO  w.i.c.s.impl.WbHeartBeatService:28 - 收到心跳({"businessKey":0,"content":"ping","msgType":1,"token":"k8Vm0485aib9EV+ZGR/h9Q=="})
2020-05-12 09:22:01 [120383 [Thread-9] INFO  o.s.s.c.ThreadPoolTaskExecutor:208 - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-12 09:22:01 [120384 [Thread-9] INFO  c.a.druid.pool.DruidDataSource:1948 - {dataSource-1} closing ...
2020-05-12 09:22:01 [120402 [Thread-9] INFO  c.a.druid.pool.DruidDataSource:2020 - {dataSource-1} closed
2020-05-12 09:22:01 [120402 [Thread-9] INFO  wb.im.core.server.WbWebNettyServer:42 - WEB消息服务开始关闭(1112)
2020-05-12 09:22:01 [120404 [Thread-9] INFO  wb.im.core.server.WbNettyServer:42 - 消息服务开始关闭(1111)
